차하, 52, 170 
마나, 88, 140 
하나, 62, 193 
다가, 80, 148 
마타, 56, 164 
파나, 86, 145 
다마, 73, 191 
하아, 61, 146 
자나, 43, 164 
나나, 82, 148 
아자, 94, 165 
라하, 85, 184 
가나, 89, 150 
바마, 70, 160 
사바, 83, 190 
타나, 83, 191 
자하, 83, 179 
라마, 73, 190 
파마, 72, 173 
나카, 71, 167 
차바, 78, 185 
자다, 48, 148 
아사, 85, 182 
파하, 74, 184 
하파, 82, 151 
타자, 47, 155 
차자, 78, 171 
카바, 97, 176 
라나, 97, 187 
타사, 90, 184 
나마, 94, 153 
파타, 40, 141 
아사, 43, 196 
사라, 46, 150 
마카, 73, 142 
바마, 96, 166 
라카, 92, 167 
가하, 58, 176 
카차, 90, 145 
라아, 65, 170 
하카, 70, 140 
사마, 47, 150 
가나, 63, 166 
바타, 87, 195 
다자, 87, 194 
나아, 61, 149 
라가, 87, 172 
차자, 42, 190 
사마, 56, 150 
하나, 67, 140 
라라, 83, 191 
파타, 75, 180 
라마, 51, 196 
타라, 62, 145 
라바, 53, 191 
라다, 80, 158 
사카, 60, 143 
바카, 86, 150 
사바, 65, 184 
카나, 94, 183 
바마, 42, 183 
아하, 46, 185 
카가, 83, 155 
자카, 87, 190 
나다, 56, 179 
라파, 87, 199 
가카, 79, 141 
다라, 44, 140 
차아, 88, 145 
바라, 45, 153 
아바, 61, 190 
바타, 40, 156 
타가, 42, 141 
마파, 83, 198 
차마, 94, 158 
다카, 64, 144 
타하, 54, 179 
다다, 62, 146 
파하, 91, 140 
파가, 57, 169 
가카, 86, 198 
자아, 86, 161 
나다, 48, 151 
나하, 75, 147 
마다, 98, 163 
나카, 46, 190 
바나, 52, 162 
사다, 46, 175 
다차, 66, 174 
사자, 94, 188 
카하, 99, 199 
하하, 55, 148 
차사, 63, 154 
나파, 59, 179 
파나, 97, 193 
아라, 73, 197 
자차, 54, 150 
사카, 58, 188 
나가, 79, 164 
나사, 54, 155 
차자, 87, 192 
나자, 56, 192 
파다, 80, 174 
하아, 66, 140 
타타, 59, 181 
라차, 65, 154 
자라, 64, 191 
타다, 89, 199 
라라, 91, 147 
타타, 78, 173 
마나, 50, 175 
가자, 51, 148 
다가, 40, 164 
하다, 86, 147 
라라, 62, 161 
나차, 63, 160 
사파, 57, 159 
차파, 61, 160 
라라, 58, 145 
다차, 65, 193 
나바, 59, 150 
바타, 47, 150 
타자, 55, 167 
가가, 85, 167 
파라, 76, 151 
바자, 64, 185 
사다, 91, 160 
다라, 78, 185 
다라, 63, 160 
다카, 97, 148 
마마, 71, 195 
다하, 58, 177 
나카, 53, 183 
자파, 46, 162 
라차, 86, 158 
가아, 85, 154 
바다, 62, 180 
아아, 90, 197 
마다, 79, 187 
다다, 55, 173 
마카, 73, 158 
다자, 44, 181 
하아, 65, 199 
사자, 43, 193 
카다, 87, 163 
다자, 41, 174 
자다, 89, 198 
차마, 84, 183 
가타, 46, 177 
나타, 65, 167 
마라, 58, 166 
아바, 51, 165 
자다, 60, 151 
마마, 81, 142 
하차, 45, 181 
타사, 66, 159 
하차, 98, 143 
마하, 58, 184 
카아, 65, 140 
카아, 77, 195 
바바, 46, 154 
타다, 41, 140 
타하, 77, 181 
하사, 61, 196 
바파, 92, 199 
나바, 77, 146 
차가, 85, 173 
나마, 80, 164 
차나, 56, 176 
타라, 94, 184 
차라, 42, 158 
파파, 83, 196 
바마, 40, 154 
차자, 44, 190 
라사, 75, 146 
차파, 91, 140 
타라, 47, 184 
카마, 92, 196 
사바, 58, 156 
나사, 99, 187 
라타, 84, 195 
타마, 43, 144 
카차, 42, 183 
사타, 81, 166 
가타, 56, 168 
나바, 97, 183 
자사, 99, 180 
나차, 44, 195 
다차, 62, 141 
파자, 49, 149 
카자, 49, 194 
사바, 79, 174 
하하, 94, 143 
아타, 41, 160 
바사, 93, 163 
라마, 79, 186 
바가, 98, 182 
아사, 99, 171 
마다, 69, 149 
가자, 98, 170 
하마, 57, 144 
하파, 58, 182 
다마, 68, 149 
타타, 59, 141 
가마, 51, 174 
라사, 84, 176 
자파, 61, 146 
카라, 66, 156 
차나, 50, 152 
카타, 44, 140 
차다, 55, 173 
사라, 99, 185 
가나, 82, 190 
타하, 69, 183 
라자, 67, 178 
다마, 67, 199 
차라, 94, 178 
카나, 53, 155 
마사, 66, 176 
나사, 76, 195 
마자, 74, 165 
파파, 93, 190 
하다, 60, 166 
차사, 79, 194 
차차, 75, 185 
바자, 92, 165 
타차, 40, 188 
바파, 81, 166 
파가, 70, 153 
자타, 99, 176 
다나, 50, 195 
타마, 47, 181 
자아, 49, 164 
라사, 43, 195 
하가, 51, 195 
마나, 92, 178 
자아, 64, 186 
마하, 83, 151 
카카, 65, 190 
파타, 99, 178 
마아, 48, 162 
사사, 66, 186 
다바, 87, 144 
마바, 74, 180 
나라, 74, 152 
아다, 76, 153 
차파, 91, 157 
다가, 76, 154 
마차, 70, 149 
타나, 40, 173 
나바, 95, 167 
아바, 50, 188 
마차, 46, 177 
하하, 91, 158 
타다, 93, 141 
다하, 72, 146 
다파, 48, 140 
나카, 93, 153 
라파, 98, 195 
하자, 63, 178 
가다, 68, 150 
바가, 45, 197 
바하, 46, 195 
사카, 60, 146 
카파, 47, 167 
사라, 67, 163 
파마, 48, 143 
나다, 51, 182 
파카, 65, 169 
라파, 52, 147 
타마, 80, 160 
사차, 50, 195 
가차, 93, 186 
자마, 44, 147 
아라, 62, 158 
바차, 57, 170 
가차, 48, 166 
차나, 95, 182 
카차, 80, 198 
바자, 59, 199 
카가, 84, 144 
다타, 95, 162 
다타, 96, 150 
바다, 82, 154 
카하, 46, 161 
차마, 66, 183 
다다, 97, 178 
파아, 72, 165 
자다, 83, 174 
자사, 55, 196 
마바, 87, 161 
바하, 54, 156 
카자, 53, 140 
라마, 68, 143 
바타, 95, 187 
파다, 57, 176 
나차, 75, 185 
사라, 62, 189 
나가, 59, 199 
바라, 85, 149 
바차, 45, 143 
가나, 72, 171 
다하, 78, 196 
다가, 46, 144 
카바, 75, 186 
카가, 43, 140 
아사, 40, 174 
다카, 78, 168 
사바, 49, 178 
차카, 58, 183 
라자, 43, 153 
파다, 58, 156 
바차, 40, 156 
가나, 64, 156 
바자, 43, 184 
사카, 75, 160 
차타, 54, 199 
나마, 75, 153 
차라, 76, 148 
가라, 82, 167 
카라, 45, 194 
하라, 60, 184 
나하, 73, 171 
아하, 78, 142 
바차, 82, 151 
라마, 54, 175 
바하, 86, 151 
라라, 88, 162 
카다, 93, 154 
가하, 76, 197 
나자, 79, 157 
나가, 99, 197 
파사, 89, 159 
라가, 70, 192 
라차, 82, 147 
마사, 56, 182 
자나, 64, 191 
자나, 95, 141 
나파, 51, 146 
가마, 75, 160 
나자, 74, 168 
나하, 86, 182 
하카, 92, 155 
카차, 78, 183 
마차, 67, 196 
바타, 84, 186 
사자, 87, 187 
하사, 46, 140 
자라, 85, 169 
타바, 73, 164 
아차, 95, 143 
사라, 93, 169 
하자, 90, 187 
타타, 41, 158 
타하, 56, 171 
차마, 51, 143 
다카, 89, 159 
바다, 87, 145 
바차, 73, 178 
라카, 82, 154 
자가, 47, 140 
사라, 79, 188 
마자, 67, 182 
가다, 65, 179 
마가, 40, 180 
가마, 72, 161 
나라, 70, 172 
아나, 80, 158 
사카, 92, 186 
바자, 45, 148 
타마, 47, 147 
라사, 51, 163 
차하, 57, 159 
마바, 99, 166 
아다, 41, 145 
파바, 64, 150 
파라, 75, 184 
다라, 73, 149 
다다, 63, 181 
다차, 90, 173 
파마, 90, 166 
라타, 44, 167 
카마, 64, 198 
사하, 94, 197 
바다, 43, 145 
사바, 82, 164 
라다, 64, 165 
자라, 69, 188 
